x_axis,mean_cumulated_mixed_spectral_ucrl_regret,lower_bound_mixed,upper_bound_mixed,mean_cumulated_seeu_regret,lower_bound_seeu,upper_bound_seeu,mean_cumulated_smucrl_regret,lower_bound_smucrl,upper_bound_smucrl
0.86,0.6348200000000419,0.7091050401885926,0.5605349598114913,0.6748800000001243,0.7701381576204123,0.5796218423798363,0.8163200000001992,0.847681359515039,0.7849586404853595
0.88,0.6426866666667097,0.715244103380817,0.5701292299526024,0.6920866666667813,0.7895859336448726,0.5945873996886899,0.8308933333335202,0.8664464746337548,0.7953401920332858
0.9,0.6480866666667096,0.7190645556833183,0.5771087776501007,0.7077000000001046,0.8077375313171147,0.6076624686830946,0.8465000000001742,0.8862112805383476,0.8067887194620009
0.92,0.6531800000000438,0.7223111261592948,0.584048873840793,0.7234066666667631,0.8251974260348878,0.6216159072986382,0.8613800000001621,0.9044919912078503,0.8182680087924741
0.94,0.6576733333333779,0.7258537925197452,0.5894928741470103,0.7426333333334265,0.844321986362023,0.64094468030483,0.8762333333334831,0.9233357866979419,0.8291308799690243
0.96,0.6623800000000452,0.7288313273634449,0.5959286726366453,0.7631733333334252,0.865442008266077,0.6609046584007733,0.8919266666668049,0.9435242579343852,0.8403290753992245
0.98,0.6686200000000455,0.7338313412709753,0.6034086587291159,0.7834666666667555,0.8868368639559867,0.6800964693775242,0.9074400000001233,0.964070567326288,0.8508094326739585
1.0,0.6744466666667135,0.7393161753022941,0.6095771580311328,0.8042866666667537,0.907568132730363,0.7010052006031445,0.9215800000001128,0.9818581304051819,0.8613018695950435
1.02,0.6789600000000495,0.7432399694534372,0.6146800305466619,0.8245466666667515,0.927922590563477,0.721170742770026,0.9358066666667666,1.0017457749050107,0.8698675584285225
1.04,0.6840200000000511,0.7465291740168792,0.621510825983223,0.8381266666667423,0.9414848466980031,0.7347684866354814,0.9520800000000874,1.0225627590783561,0.8815972409218188
1.06,0.6896000000000538,0.7509268589500389,0.6282731410500688,0.8510066666667316,0.9534592435711791,0.7485540897622843,0.9681200000000743,1.0420184066069884,0.8942215933931602
1.08,0.6943400000000567,0.7553609918650114,0.633319008135102,0.8600666666667206,0.9640007417868212,0.75613259154662,0.9816066666667237,1.0600191739581748,0.9031941593752725
1.1,0.6991666666667262,0.7595682761399652,0.6387650571934872,0.8712933333333752,0.9757495365846336,0.766837130082117,0.9974333333333721,1.0804510107251255,0.9144156559416188
1.12,0.705080000000062,0.7643489121324697,0.6458110878676543,0.88080000000003,0.9864861489272998,0.7751138510727601,1.0133333333333532,1.1012103747175226,0.9254562919491839
1.14,0.710526666666732,0.7710823434982674,0.6499709898351966,0.890506666666686,0.9969032983440784,0.7841100349892938,1.028439999999996,1.1207610321921029,0.9361189678078891
1.16,0.7151800000000701,0.7750239971170813,0.655336002883059,0.9014600000000084,1.0083429025428172,0.7945770974571995,1.0445599999999686,1.1414750687742954,0.9476449312256419
1.18,0.7190333333334074,0.778851609038285,0.6592150576285297,0.9110199999999984,1.0193214000498538,0.802718599950143,1.0592333333332764,1.1613192638037884,0.9571474028627645
1.2,0.7224000000000784,0.7809005203412963,0.6638994796588605,0.9192399999999862,1.0290407664852563,0.8094392335147158,1.071553333333251,1.17877189058018,0.964334776086322
1.22,0.7267533333334153,0.7849454767445272,0.6685611899223034,0.9299466666666408,1.0406494936175534,0.8192438397157282,1.0877266666665597,1.200091851292404,0.9753614820407154
