x_axis,mean_frobenious_observation,lower_bound_observation,upper_bound_observation,mean_frobenious_transition_0,lower_bound_transition_0,upper_bound_transition_0,mean_frobenious_transition_1,lower_bound_transition_1,upper_bound_transition_1,mean_frobenious_transition_2,lower_bound_transition_2,upper_bound_transition_2
19,0.6403957509972911,0.707615732378997,0.5731757696155851,0.5674783036959271,0.6860698694987979,0.4488867378930563,0.9028837627612779,1.0397318605022856,0.7660356650202702,0.9158489175213965,1.050136710549103,0.78156112449369
20,0.6639957069957856,0.7510409340119082,0.576950479979663,0.6469703114926231,0.7697876567221851,0.5241529662630611,0.6345847795962956,0.7183523192912932,0.5508172399012979,0.7312812525747173,0.8376757554525086,0.624886749696926
21,0.536053164272782,0.5783566893715706,0.4937496391739935,0.43936045721494726,0.5124976835188378,0.36622323091105674,0.5089861203301307,0.5577570105928163,0.460215230067445,0.6946285477109302,0.7638246769634947,0.6254324184583657
22,0.5701245248476988,0.6213992575229695,0.5188497921724281,0.6025869347082489,0.6874858585282112,0.5176880108882865,0.6243390031737828,0.6847223274311269,0.5639556789164386,0.7731056772911409,0.8640961941864329,0.6821151603958489
23,0.6518952729297829,0.7156641378689005,0.5881264079906653,0.68777969364433,0.7902888530012587,0.5852705342874013,0.7938577058395799,0.9027375828300335,0.6849778288491264,0.7957276921558651,0.8810953210004483,0.710360063311282
24,0.5237662012604576,0.5805082139029997,0.4670241886179155,0.47762576910763926,0.5408172651587333,0.41443427305654523,0.6193475594020416,0.6937976177364195,0.5448975010676637,0.6385872714665385,0.7059421144035596,0.5712324285295174
25,0.5441253605498575,0.5977751154568176,0.49047560564289744,0.5120264068421114,0.6206755172197436,0.4033772964644793,0.7824996903356095,0.8995079076524495,0.6654914730187695,0.5923405371826468,0.6530570815267172,0.5316239928385764
26,0.4998295640376293,0.537938911449479,0.4617202166257795,0.39045521554185775,0.4382443749053497,0.3426660561783658,0.6060893295004048,0.6926495882003199,0.5195290708004898,0.6443682067631263,0.7261864283873194,0.5625499851389333
27,0.5187935088946513,0.5560611358736027,0.4815258819156998,0.42956254084741463,0.4840770878035844,0.3750479938912449,0.7747292283637962,0.8728931583715411,0.6765652983560513,0.6381678927599157,0.7025816480778194,0.573754137442012
28,0.6200357514390813,0.6611694824724318,0.5789020204057308,0.5843328598602178,0.6969582762637775,0.47170744345665805,0.8626777040597279,0.9827939854344165,0.7425614226850392,0.7717806245888714,0.8283681215876229,0.71519312759012
29,0.5285799122692234,0.5662246937215843,0.49093513081686246,0.4081211388749467,0.44945265398886636,0.3667896237610271,0.8554065178405326,1.0098778302061326,0.7009352054749324,0.743699532852085,0.7969744384076572,0.6904246272965128
30,0.5329364420337097,0.5775381480619544,0.48833473600546506,0.3795612342059191,0.4153810907753771,0.34374137763646107,0.8014383803361496,0.8935573338971279,0.7093194267751712,0.7300566692644829,0.7930606846667454,0.6670526538622203
